難易度,問題文,正解,偽選択肢1,偽選択肢2,偽選択肢3
1,100を7こ10を4こ1を4こあつめた数は???です,744,745,754,755
1,100を8こ10を5こ1を7こあつめた数は???です,857,858,867,868
1,100を8こ10を4こ1を4こあつめた数は???です,844,845,854,855
1,135は１００を□こ10を□こ1を□こあつめた数です。,1，3，5,2，4，5,3，3，5,0，4，5
1,766は１００を□こ10を□こ1を□こあつめた数です。,7，6，6,8，7，6,9，6，6,6，7，6
1,100を4こ10を1こ1を3こあつめた数は???です,413,414,423,424
1,100を1こ10を6こ1を9こあつめた数は???です,169,170,179,180
1,738は１００を□こ10を□こ1を□こあつめた数です。,7，3，8,8，4，8,9，3，8,6，4，8
1,100を2こ10を7こ1を8こあつめた数は???です,278,279,288,289
1,100を1こ10を9こ1を7こあつめた数は???です,197,198,207,208
1,960は１００を□こ10を□こ1を□こあつめた数です。,9，6，0,10，7，0,11，6，0,8，7，0
1,892は１００を□こ10を□こ1を□こあつめた数です。,8，9，2,9，10，2,10，9，2,7，10，2
1,105は１００を□こ10を□こ1を□こあつめた数です。,1，0，5,2，1，5,3，0，5,0，1，5
1,614は１００を□こ10を□こ1を□こあつめた数です。,6，1，4,7，2，4,8，1，4,5，2，4
1,100を1こ10を4こ1を3こあつめた数は???です,143,144,153,154
1,100を4こ10を0こ1を3こあつめた数は???です,403,404,413,414
1,100を1こ10を2こ1を4こあつめた数は???です,124,125,134,135
1,103は１００を□こ10を□こ1を□こあつめた数です。,1，0，3,2，1，3,3，0，3,0，1，3
1,100を3こ10を6こ1を3こあつめた数は???です,363,364,373,374
1,100を8こ10を6こ1を9こあつめた数は???です,869,870,879,880
1,100を4こ10を5こ1を2こあつめた数は???です,452,453,462,463
1,100を3こ10を3こ1を1こあつめた数は???です,331,332,341,342
1,975は１００を□こ10を□こ1を□こあつめた数です。,9，7，5,10，8，5,11，7，5,8，8，5
1,100を5こ10を1こ1を5こあつめた数は???です,515,516,525,526
1,100を2こ10を3こ1を2こあつめた数は???です,232,233,242,243
1,100を4こ10を5こ1を7こあつめた数は???です,457,458,467,468
1,498は１００を□こ10を□こ1を□こあつめた数です。,4，9，8,5，10，8,6，9，8,3，10，8
1,100を9こ10を6こ1を6こあつめた数は???です,966,967,976,977
1,100を5こ10を8こ1を7こあつめた数は???です,587,588,597,598
1,100を9こ10を8こ1を6こあつめた数は???です,986,987,996,997
