難易度	問題文	正解	偽選択肢１	偽選択肢２	偽選択肢３
1	623＋50＝？	673	663	683	674
1	530＋7＝？	537	527	547	538
1	833＋11＝？	844	834	854	845
1	771-10＝？	761	751	752	760
1	885-62＝？	823	813	814	822
1	263-0＝？	263	253	254	262
1	568-17＝？	551	541	542	550
1	105＋92＝？	197	187	207	198
1	188-8＝？	180	170	171	179
1	305＋60＝？	365	355	375	366
1	588-40＝？	548	538	539	547
1	925＋2＝？	927	917	937	928
1	388-20＝？	368	358	359	367
1	373＋22＝？	395	385	405	396
1	213＋13＝？	226	216	236	227
1	420＋57＝？	477	467	487	478
1	296-24＝？	272	262	263	271
1	678-45＝？	633	623	624	632
1	547＋20＝？	567	557	577	568
1	438-3＝？	435	425	426	434
1	663＋23＝？	686	676	696	687
1	601＋68＝？	669	659	679	670
1	501＋33＝？	534	524	544	535
1	665＋0＝？	665	655	675	666
1	514＋33＝？	547	537	557	548
1	622＋73＝？	695	685	705	696
1	107＋42＝？	149	139	159	150
1	797-63＝？	734	724	725	733
1	290＋6＝？	296	286	306	297
1	803＋5＝？	808	798	818	809
1	819-50＝？	769	759	760	768
1	854-44＝？	810	800	801	809
1	396-92＝？	304	294	295	303
1	506-1＝？	505	495	496	504
1	367＋30＝？	397	387	407	398
1	383-61＝？	322	312	313	321
1	575-23＝？	552	542	543	551
1	444＋22＝？	466	456	476	467
1	349-21＝？	328	318	319	327
1	266-23＝？	243	233	234	242
1	299-52＝？	247	237	238	246
1	482-2＝？	480	470	471	479
1	838-31＝？	807	797	798	806
1	940＋19＝？	959	949	969	960
1	326-3＝？	323	313	314	322
1	272＋13＝？	285	275	295	286
1	233-32＝？	201	191	192	200
1	442-2＝？	440	430	431	439
1	421＋6＝？	427	417	437	428
1	382-12＝？	370	360	361	369
1	166-12＝？	154	144	145	153
1	279-71＝？	208	198	199	207
1	781＋6＝？	787	777	797	788
1	947＋11＝？	958	948	968	959
1	238-32＝？	206	196	197	205
1	909-3＝？	906	896	897	905
1	491-1＝？	490	480	481	489
1	240＋3＝？	243	233	253	244
1	120＋11＝？	131	121	141	132
1	568-37＝？	531	521	522	530
