難易度	問題文	正解	偽選択肢1	偽選択肢2	偽選択肢3
1	1×1＝？	1	2	0	3
1	1×2＝？	2	3	1	4
1	1×3＝？	3	4	2	5
1	1×4＝？	4	5	3	6
1	1×5＝？	5	6	4	7
1	1×6＝？	6	7	5	8
1	1×7＝？	7	8	6	9
1	1×8＝？	8	9	7	10
1	1×9＝？	9	10	8	11
1	2×1＝？	2	3	1	4
1	2×2＝？	4	5	3	6
1	2×3＝？	6	7	5	8
1	2×4＝？	8	9	7	10
1	2×5＝？	10	11	9	12
1	2×6＝？	12	13	11	14
1	2×7＝？	14	15	13	16
1	2×8＝？	16	17	15	18
1	2×9＝？	18	19	17	20
1	3×1＝？	3	4	2	5
1	3×2＝？	6	7	5	8
1	3×3＝？	9	10	8	11
1	3×4＝？	12	13	11	14
1	3×5＝？	15	16	14	17
1	3×6＝？	18	19	17	20
1	3×7＝？	21	22	20	23
1	3×8＝？	24	25	23	26
1	3×9＝？	27	28	26	29
1	4×1＝？	4	5	3	6
1	4×2＝？	8	9	7	10
1	4×3＝？	12	13	11	14
1	4×4＝？	16	17	15	18
1	4×5＝？	20	21	19	22
1	4×6＝？	24	25	23	26
1	4×7＝？	28	29	27	30
1	4×8＝？	32	33	31	34
1	4×9＝？	36	37	35	38
1	5×1＝？	5	6	4	7
1	5×2＝？	10	11	9	12
1	5×3＝？	15	16	14	17
1	5×4＝？	20	21	19	22
1	5×5＝？	25	26	24	27
1	5×6＝？	30	31	29	32
1	5×7＝？	35	36	34	37
1	5×8＝？	40	41	39	42
1	5×9＝？	45	46	44	47
1	6×1＝？	6	7	5	8
1	6×2＝？	12	13	11	14
1	6×3＝？	18	19	17	20
1	6×4＝？	24	25	23	26
1	6×5＝？	30	31	29	32
1	6×6＝？	36	37	35	38
1	6×7＝？	42	43	41	44
1	6×8＝？	48	49	47	50
1	6×9＝？	54	55	53	56
1	7×1＝？	7	8	6	9
1	7×2＝？	14	15	13	16
1	7×3＝？	21	22	20	23
1	7×4＝？	28	29	27	30
1	7×5＝？	35	36	34	37
1	7×6＝？	42	43	41	44
1	7×7＝？	49	50	48	51
1	7×8＝？	56	57	55	58
1	7×9＝？	63	64	62	65
1	8×1＝？	8	9	7	10
1	8×2＝？	16	17	15	18
1	8×3＝？	24	25	23	26
1	8×4＝？	32	33	31	34
1	8×5＝？	40	41	39	42
1	8×6＝？	48	49	47	50
1	8×7＝？	56	57	55	58
1	8×8＝？	64	65	63	66
1	8×9＝？	72	73	71	74
1	9×1＝？	9	10	8	11
1	9×2＝？	18	19	17	20
1	9×3＝？	27	28	26	29
1	9×4＝？	36	37	35	38
1	9×5＝？	45	46	44	47
1	9×6＝？	54	55	53	56
1	9×7＝？	63	64	62	65
1	9×8＝？	72	73	71	74
1	9×9＝？	81	82	80	83
2	1×？＝1	1	0	2	3
2	1×？＝2	2	1	3	4
2	1×？＝3	3	2	4	5
2	1×？＝4	4	3	5	6
2	1×？＝5	5	4	6	7
2	1×？＝6	6	5	7	8
2	1×？＝7	7	6	8	9
2	1×？＝8	8	7	9	10
2	1×？＝9	9	8	10	11
2	2×？＝2	1	0	2	3
2	2×？＝4	2	1	3	4
2	2×？＝6	3	2	4	5
2	2×？＝8	4	3	5	6
2	2×？＝10	5	4	6	7
2	2×？＝12	6	5	7	8
2	2×？＝14	7	6	8	9
2	2×？＝16	8	7	9	10
2	2×？＝18	9	8	10	11
2	3×？＝3	1	0	2	3
2	3×？＝6	2	1	3	4
2	3×？＝9	3	2	4	5
2	3×？＝12	4	3	5	6
2	3×？＝15	5	4	6	7
2	3×？＝18	6	5	7	8
2	3×？＝21	7	6	8	9
2	3×？＝24	8	7	9	10
2	3×？＝27	9	8	10	11
2	4×？＝4	1	0	2	3
2	4×？＝8	2	1	3	4
2	4×？＝12	3	2	4	5
2	4×？＝16	4	3	5	6
2	4×？＝20	5	4	6	7
2	4×？＝24	6	5	7	8
2	4×？＝28	7	6	8	9
2	4×？＝32	8	7	9	10
2	4×？＝36	9	8	10	11
2	5×？＝5	1	0	2	3
2	5×？＝10	2	1	3	4
2	5×？＝15	3	2	4	5
2	5×？＝20	4	3	5	6
2	5×？＝25	5	4	6	7
2	5×？＝30	6	5	7	8
2	5×？＝35	7	6	8	9
2	5×？＝40	8	7	9	10
2	5×？＝45	9	8	10	11
2	6×？＝6	1	0	2	3
2	6×？＝12	2	1	3	4
2	6×？＝18	3	2	4	5
2	6×？＝24	4	3	5	6
2	6×？＝30	5	4	6	7
2	6×？＝36	6	5	7	8
2	6×？＝42	7	6	8	9
2	6×？＝48	8	7	9	10
2	6×？＝54	9	8	10	11
2	7×？＝7	1	0	2	3
2	7×？＝14	2	1	3	4
2	7×？＝21	3	2	4	5
2	7×？＝28	4	3	5	6
2	7×？＝35	5	4	6	7
2	7×？＝42	6	5	7	8
2	7×？＝49	7	6	8	9
2	7×？＝56	8	7	9	10
2	7×？＝63	9	8	10	11
2	8×？＝8	1	0	2	3
2	8×？＝16	2	1	3	4
2	8×？＝24	3	2	4	5
2	8×？＝32	4	3	5	6
2	8×？＝40	5	4	6	7
2	8×？＝48	6	5	7	8
2	8×？＝56	7	6	8	9
2	8×？＝64	8	7	9	10
2	8×？＝72	9	8	10	11
2	9×？＝9	1	0	2	3
2	9×？＝18	2	1	3	4
2	9×？＝27	3	2	4	5
2	9×？＝36	4	3	5	6
2	9×？＝45	5	4	6	7
2	9×？＝54	6	5	7	8
2	9×？＝63	7	6	8	9
2	9×？＝72	8	7	9	10
2	9×？＝81	9	8	10	11
2	?×1＝1	1	0	2	3
2	?×1＝2	2	1	3	4
2	?×1＝3	3	2	4	5
2	?×1＝4	4	3	5	6
2	?×1＝5	5	4	6	7
2	?×1＝6	6	5	7	8
2	?×1＝7	7	6	8	9
2	?×1＝8	8	7	9	10
2	?×1＝9	9	8	10	11
2	?×2＝2	1	0	2	3
2	?×2＝4	2	1	3	4
2	?×2＝6	3	2	4	5
2	?×2＝8	4	3	5	6
2	?×2＝10	5	4	6	7
2	?×2＝12	6	5	7	8
2	?×2＝14	7	6	8	9
2	?×2＝16	8	7	9	10
2	?×2＝18	9	8	10	11
2	?×3＝3	1	0	2	3
2	?×3＝6	2	1	3	4
2	?×3＝9	3	2	4	5
2	?×3＝12	4	3	5	6
2	?×3＝15	5	4	6	7
2	?×3＝18	6	5	7	8
2	?×3＝21	7	6	8	9
2	?×3＝24	8	7	9	10
2	?×3＝27	9	8	10	11
2	?×4＝4	1	0	2	3
2	?×4＝8	2	1	3	4
2	?×4＝12	3	2	4	5
2	?×4＝16	4	3	5	6
2	?×4＝20	5	4	6	7
2	?×4＝24	6	5	7	8
2	?×4＝28	7	6	8	9
2	?×4＝32	8	7	9	10
2	?×4＝36	9	8	10	11
2	?×5＝5	1	0	2	3
2	?×5＝10	2	1	3	4
2	?×5＝15	3	2	4	5
2	?×5＝20	4	3	5	6
2	?×5＝25	5	4	6	7
2	?×5＝30	6	5	7	8
2	?×5＝35	7	6	8	9
2	?×5＝40	8	7	9	10
2	?×5＝45	9	8	10	11
2	?×6＝6	1	0	2	3
2	?×6＝12	2	1	3	4
2	?×6＝18	3	2	4	5
2	?×6＝24	4	3	5	6
2	?×6＝30	5	4	6	7
2	?×6＝36	6	5	7	8
2	?×6＝42	7	6	8	9
2	?×6＝48	8	7	9	10
2	?×6＝54	9	8	10	11
2	?×7＝7	1	0	2	3
2	?×7＝14	2	1	3	4
2	?×7＝21	3	2	4	5
2	?×7＝28	4	3	5	6
2	?×7＝35	5	4	6	7
2	?×7＝42	6	5	7	8
2	?×7＝49	7	6	8	9
2	?×7＝56	8	7	9	10
2	?×7＝63	9	8	10	11
2	?×8＝8	1	0	2	3
2	?×8＝16	2	1	3	4
2	?×8＝24	3	2	4	5
2	?×8＝32	4	3	5	6
2	?×8＝40	5	4	6	7
2	?×8＝48	6	5	7	8
2	?×8＝56	7	6	8	9
2	?×8＝64	8	7	9	10
2	?×8＝72	9	8	10	11
2	?×9＝9	1	0	2	3
2	?×9＝18	2	1	3	4
2	?×9＝27	3	2	4	5
2	?×9＝36	4	3	5	6
2	?×9＝45	5	4	6	7
2	?×9＝54	6	5	7	8
2	?×9＝63	7	6	8	9
2	?×9＝72	8	7	9	10
2	?×9＝81	9	8	10	11
3	？×？＝1	1、1	2、1	1、0	1、3
3	？×？＝2	1、2	2、2	1、1	1、4
3	？×？＝3	1、3	2、3	1、2	1、5
3	？×？＝4	1、4	2、4	1、3	1、6
3	？×？＝5	1、5	2、5	1、4	1、7
3	？×？＝6	1、6	2、6	1、5	1、8
3	？×？＝7	1、7	2、7	1、6	1、9
3	？×？＝8	1、8	2、8	1、7	1、6
3	？×？＝9	1、9	2、9	1、8	1、7
3	？×？＝2	2、1	3、1	2、0	2、3
3	？×？＝4	2、2	3、2	2、1	2、4
3	？×？＝6	2、3	3、3	2、2	2、5
3	？×？＝8	2、4	3、4	2、3	2、6
3	？×？＝10	2、5	3、5	2、4	2、7
3	？×？＝12	2、6	3、6	2、5	2、8
3	？×？＝14	2、7	3、7	2、6	2、9
3	？×？＝16	2、8	3、8	2、7	2、6
3	？×？＝18	2、9	3、9	2、8	2、7
3	？×？＝3	3、1	4、1	3、0	3、3
3	？×？＝6	3、2	4、2	3、1	3、4
3	？×？＝9	3、3	4、3	3、2	3、5
3	？×？＝12	3、4	4、4	3、3	3、6
3	？×？＝15	3、5	4、5	3、4	3、7
3	？×？＝18	3、6	4、6	3、5	3、8
3	？×？＝21	3、7	4、7	3、6	3、9
3	？×？＝24	3、8	4、8	3、7	3、6
3	？×？＝27	3、9	4、9	3、8	3、7
3	？×？＝4	4、1	5、1	4、0	4、3
3	？×？＝8	4、2	5、2	4、1	4、4
3	？×？＝12	4、3	5、3	4、2	4、5
3	？×？＝16	4、4	5、4	4、3	4、6
3	？×？＝20	4、5	5、5	4、4	4、7
3	？×？＝24	4、6	5、6	4、5	4、8
3	？×？＝28	4、7	5、7	4、6	4、9
3	？×？＝32	4、8	5、8	4、7	4、6
3	？×？＝36	4、9	5、9	4、8	4、7
3	？×？＝5	5、1	6、1	5、0	5、3
3	？×？＝10	5、2	6、2	5、1	5、4
3	？×？＝15	5、3	6、3	5、2	5、5
3	？×？＝20	5、4	6、4	5、3	5、6
3	？×？＝25	5、5	6、5	5、4	5、7
3	？×？＝30	5、6	6、6	5、5	5、8
3	？×？＝35	5、7	6、7	5、6	5、9
3	？×？＝40	5、8	6、8	5、7	5、6
3	？×？＝45	5、9	6、9	5、8	5、7
3	？×？＝6	6、1	7、1	6、0	6、3
3	？×？＝12	6、2	7、2	6、1	6、4
3	？×？＝18	6、3	7、3	6、2	6、5
3	？×？＝24	6、4	7、4	6、3	6、6
